libelle,cours,variation,volume,isin
JCDECAUX,22.5,1.9,98373,FR0000077919
IPSOS,42.7,1.91,62061,FR0000073298
VICAT,62.9,1.94,29040,FR0000031775
MAUREL & PROM,8.08,1.96,87884,FR0000051070
EMEIS,13.875,2.02,43281,
VIVENDI,2.026,2.07,477069,FR0000127771
ERAMET,43.1,2.18,16568,FR0000131757
CLARIANE,4.062,2.42,102021,FR0010386334
STELLANTIS,5.194,2.43,3238616,
DBV TECHNOLOGIES,2.43,2.45,446519,FR0010417345
TELEPERFORMANCE,61.48,2.47,101910,FR0000051807
RENAULT,27.82,2.47,436454,FR0000131906
TOTALENERGIES,75.64,2.52,1279009,FR0000120271
WENDEL,84.15,3.06,16741,FR0000121204
NEXANS,128.0,3.14,145007,FR0000044448
GTT (GAZTRANSPORT ET TEC.),192.1,3.28,44657,FR0011726835
SEB,59.45,3.3,48295,FR0000121709
CAPGEMINI,106.35,4.57,508509,FR0000125338
MEDINCELL,26.46,4.83,120061,FR0004065605
VUSION,136.9,5.07,38359,FR0010282822
ATOS GROUP,33.98,6.45,124299,
BUREAU VERITAS,29.7,8.71,1280153,FR0006174348
KERING,285.55,13.99,513382,FR0000121485
SOPRA STERIA,198.95,15.53,174336,FR0000050809
ALTEN,79.65,19.24,192015,FR0000071946
