id,libelle,cours,variation,volume,isin,scraped_at
25,ALTEN,79.65,19.24,192015,FR0000071946,2026-07-29 12:59:45
24,SOPRA STERIA,198.95,15.53,174336,FR0000050809,2026-07-29 12:59:44
23,KERING,285.55,13.99,513382,FR0000121485,2026-07-29 12:59:42
22,BUREAU VERITAS,29.7,8.71,1280153,FR0006174348,2026-07-29 12:59:41
21,ATOS GROUP,33.98,6.45,124299,,2026-07-29 12:59:40
20,VUSION,136.9,5.07,38359,FR0010282822,2026-07-29 12:59:38
19,MEDINCELL,26.46,4.83,120061,FR0004065605,2026-07-29 12:59:37
18,CAPGEMINI,106.35,4.57,508509,FR0000125338,2026-07-29 12:59:36
17,SEB,59.45,3.3,48295,FR0000121709,2026-07-29 12:59:35
16,GTT (GAZTRANSPORT ET TEC.),192.1,3.28,44657,FR0011726835,2026-07-29 12:59:34
15,NEXANS,128.0,3.14,145007,FR0000044448,2026-07-29 12:59:32
14,WENDEL,84.15,3.06,16741,FR0000121204,2026-07-29 12:59:31
13,TOTALENERGIES,75.64,2.52,1279009,FR0000120271,2026-07-29 12:59:30
11,TELEPERFORMANCE,61.48,2.47,101910,FR0000051807,2026-07-29 12:59:28
12,RENAULT,27.82,2.47,436454,FR0000131906,2026-07-29 12:59:29
10,DBV TECHNOLOGIES,2.43,2.45,446519,FR0010417345,2026-07-29 12:59:26
9,STELLANTIS,5.194,2.43,3238616,,2026-07-29 12:59:25
8,CLARIANE,4.062,2.42,102021,FR0010386334,2026-07-29 12:59:24
7,ERAMET,43.1,2.18,16568,FR0000131757,2026-07-29 12:59:22
6,VIVENDI,2.026,2.07,477069,FR0000127771,2026-07-29 12:59:21
5,EMEIS,13.875,2.02,43281,,2026-07-29 12:59:20
4,MAUREL & PROM,8.08,1.96,87884,FR0000051070,2026-07-29 12:59:19
3,VICAT,62.9,1.94,29040,FR0000031775,2026-07-29 12:59:18
2,IPSOS,42.7,1.91,62061,FR0000073298,2026-07-29 12:59:17
1,JCDECAUX,22.5,1.9,98373,FR0000077919,2026-07-29 12:59:16
